"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"NM_012541",56364.906891341,3.6391319218867,0.183985357873852,3.69827090359697e-89,3.98562655280646e-85
"NM_130407",408.496012515607,3.41405524474358,0.220916741131008,4.62548440586512e-55,2.49244227210042e-51
"NM_012540",849.045315245574,7.13269401170354,0.501193037923327,3.43714565873089e-47,1.23473729213809e-43
"NM_001109459",603.329628215593,3.23728791476539,0.333553721707673,1.50834688809225e-23,4.06386360324255e-20
"NM_022521",9162.42803374257,1.70788822833761,0.249405078569207,3.02204972864209e-13,6.51372598511516e-10
"NM_053883",937.024201583476,-1.18616177959305,0.177402525057208,1.17651478664475e-12,2.11321664261175e-09
"NM_001109022",437.005354983252,-3.58259346553739,0.54109860587447,1.50817176415832e-12,2.32193815747632e-09
"NM_134329",204.697558154064,-1.52241013940319,0.235094615099588,4.62874782822296e-12,6.23550191809486e-09
"NM_022866",793.675167733672,-2.44604806306591,0.382741190329809,7.19954684276158e-12,8.62105736938239e-09
"NM_022297",2060.55750787113,-0.954258254683076,0.149962325344585,1.08905057226175e-11,1.17366980172649e-08
